Model,Relevance_story_pearson,Coherence_story_pearson,Empathy_story_pearson,Surprise_story_pearson,Engagement_story_pearson,Complexity_story_pearson,Relevance_story_spearman,Coherence_story_spearman,Empathy_story_spearman,Surprise_story_spearman,Engagement_story_spearman,Complexity_story_spearman,Relevance_story_kendall,Coherence_story_kendall,Empathy_story_kendall,Surprise_story_kendall,Engagement_story_kendall,Complexity_story_kendall
InfoLM-Sim-FisherRao ΞΔ,0.16358022607246825,0.1665016978806932,0.13849040943959598,0.07173243527640057,0.16476078875365635,0.22087613215949306,0.1573510918241672,0.12482301217962091,0.13481157693013962,0.0752099430655641,0.15038998386396255,0.20555874101373997,0.11067606292083611,0.0882713577558718,0.09579142321455181,0.05298146110389869,0.1062432116468146,0.14692962526585412
BARTScore-SH ΞΔ,0.03579225929340857,0.06997896748908344,0.14538071120094773,0.05252030247035731,0.10595468854278398,0.09480217773591587,0.04836240929256852,0.0481985363916618,0.15085873548760462,0.054487990817670154,0.10995468129354126,0.1091747862226865,0.0348524121065364,0.034181113116487735,0.10720544879217045,0.03859366893392449,0.0775633756334396,0.07819885554051835
BARTScore-HS ΞΔ,0.03711347558415752,0.16930257303592283,0.04074384785647546,0.18646733095449866,0.19055055423317815,0.26839817271425287,0.03537132265863361,0.11251306951604208,0.002223250812846971,0.17868285307858622,0.15044358198334398,0.228565903508889,0.02449144498298181,0.07809055186348163,0.0009531251305045592,0.1284209274966134,0.10458717036757777,0.16089663102731694
SUPERT-Golden ΞΔ,0.2574266531835896,0.23394213628152544,0.21253773793242126,0.12039323159980524,0.2463593229885016,0.25184155276654696,0.23679771634351873,0.1886781236704349,0.21570211288460048,0.11790824351666487,0.2369147828399128,0.2354086205588813,0.16864583536290473,0.13564509850791512,0.15488048610814725,0.08538137839364858,0.16912146630268352,0.1695201458073424
BLANC-Golden ΞΔ,0.1151175708227649,0.06475597939752402,0.022110125125350634,0.029897395465574524,0.058864766777219274,0.08584001004590093,0.12142328291181088,0.06416222486999974,0.03473674020298245,0.02954851113724827,0.057914531315339995,0.08729153779236559,0.08581686158565985,0.04614914629987446,0.025052004955277325,0.02129643027156036,0.04080942610549418,0.06216196690852893
Coverage ¤§,0.1151328651985974,0.051494024431381374,0.09754163531254662,0.10109982434709966,0.08935775958215321,0.08305650963140361,0.07437857193614408,0.007538339937278075,0.0666385889066615,0.05917493248962705,0.027506644058744086,0.018200816299187076,0.052596385437973334,0.007004732627004945,0.04687694502715903,0.042084183835008865,0.018544891005988644,0.01184625987884436
Density ¤§,0.14714583736186565,0.020440025553699778,0.03923645635189807,0.08123072447858393,0.08387598273617118,0.08296754542979967,0.10351655156676279,0.006039501872335997,0.06159020020811943,0.07173154882038593,0.033167513495301226,0.02647079188919151,0.07325810103132172,0.0053878874120696215,0.04321426989819382,0.051062532131710185,0.023175256852641584,0.01793666394817431
Compression ¤§,0.08540872806564784,0.18600705014414476,0.20004962771625565,0.20030514771889044,0.27132885943859675,0.3218242061985469,0.08666134454762572,0.12967924475536707,0.17177486722788388,0.18360303927385122,0.20986789068685002,0.28437879078871836,0.060667091692786265,0.09234694234196607,0.12349751668749533,0.13350326300293033,0.15013344095692696,0.20546196798949892
Text length ¤§,0.1510802899423578,0.23342281781069946,0.21404851893441368,0.24420048373353526,0.30834683264062523,0.4705561034643252,0.15914043097569353,0.22416912613207118,0.2338203906322622,0.27138871097121964,0.31471093194165695,0.4738597794761686,0.1137856454264215,0.16354095837486393,0.16929890912639517,0.19831531041238387,0.2294198186495217,0.35209854832425164
Novelty-1 ¤§,0.051776160499338475,0.2326337748189778,0.19424917596027164,0.23877169799053877,0.30026851522105646,0.34191893319393607,0.006778684561160692,0.15408296650638098,0.15228497015293863,0.21056091961796283,0.21819685939570935,0.28984529566966144,0.004505262544825758,0.1100161762725548,0.10931562344221106,0.15254574182855,0.15646021647048222,0.20965177758323905
Novelty-2 ¤§,0.15281179668553113,0.07915066371543575,0.06297532813788988,0.10977704058999696,0.14086034856729007,0.14473385980333975,0.10000572936937271,0.029199264779471795,0.027181540504250867,0.05223331707758168,0.05923430026893371,0.04641928385975078,0.07362651581156104,0.021588255057881905,0.021123532077645165,0.039356638911642955,0.04467866190947509,0.035813883386458634
Novelty-3 ¤§,0.15284055883905562,0.020562163659597954,0.029103003129441855,0.0747963534998953,0.0857387660138453,0.08646306305234347,0.19504526587643095,0.020858408011200584,0.017635245089301664,0.026269253627219602,0.016256450997195304,0.019627659853788792,0.16354546045052237,0.018154635869562435,0.015046975941374668,0.0221871074393294,0.013534013674990939,0.016976446078006482
Repetition-1 ¤§,0.08659962449071332,0.3324467532118177,0.15073520760561912,0.2694825057788852,0.33579105724413555,0.40061681591103926,0.07582404156569923,0.23725312620206512,0.08714231325161174,0.24925967426481713,0.25268935763841177,0.33155296790538424,0.05305327014634489,0.17131800964166566,0.060330025836715595,0.1812366997177518,0.1784876442043763,0.23704331803650858
Repetition-2 ¤§,0.06865782688225686,0.35395258058796025,0.1916353643371962,0.2732093940485187,0.36083777604726985,0.42175102734663994,0.05424328712077563,0.24448435143177608,0.11047469514095684,0.24547622460937238,0.2649538542247768,0.32749508254023135,0.037302372629506246,0.17750271511681795,0.07764078636339418,0.17823116160980612,0.18829712280905297,0.2347473697169201
Repetition-3 ¤§,0.06296462319170895,0.3631155816990698,0.20232346900722603,0.26812061404716886,0.36514878056742395,0.42291248204359533,0.07005602338152264,0.26927615079369477,0.14947304143298906,0.259637238379091,0.2868730902204732,0.3593817861821182,0.048913582314187985,0.19506914552397248,0.10713533230146828,0.18901512693789224,0.20406534133687948,0.2602432712682806
SUPERT-PS ¤ε,0.3912388059217534,0.03547911209293572,0.006169890806242896,0.000865183007902913,0.032014831091910764,0.05409721570796652,0.369605443794948,0.040786914396340516,0.020956483089300086,0.03439654946798412,0.07142368474832379,0.08634932307132678,0.26366517204073703,0.02927924361274432,0.016184346427828646,0.025587028610786614,0.05195771202292958,0.0632539254225578
SUPERT-SS ¤ε,0.3891310070278191,0.04158043814847103,0.0077151603111575776,0.005937132016274004,0.033688343249351965,0.058440884510441445,0.36804696698658207,0.05646864134343493,0.02649844231000973,0.04216135195080103,0.07592370637095926,0.09526819943583584,0.26378505862071583,0.04078921027441876,0.020677650614492997,0.03171172266261939,0.055796928847751906,0.06992627055349447
BLANC-Tune-PS ¤Δ,0.1495835676151177,0.04645760638148938,0.07743482444125889,0.063067554312197,0.09872980726695652,0.07088057111500308,0.10182479079393625,0.0008000394468431183,0.033907206443975504,0.006084544645906429,0.027180576245378205,0.011089698454760164,0.0730295805585981,0.001824280388765057,0.02482163356422951,0.004110779722611474,0.019379412423354572,0.008458507548554236
BLANC-Help-PS ¤Δ,0.16924619557603077,0.0007420878011740843,0.03756427392180817,0.04004029237776354,0.0482385059009445,0.023237809471541887,0.09705617954466013,0.00448573343951417,0.040840194534155785,0.017278448598953697,0.022302356218588358,0.009320262535810449,0.06929236431807097,0.0027510449894131697,0.030839636380793872,0.01329059266210446,0.016129392454994,0.005646356956597
BLANC-Tune-SS ¤Δ,0.16231201101104759,0.00031743646334284406,0.008279491187673217,0.030017290027500046,0.001261181645591608,0.0045501873359531375,0.15263241227610017,0.026429682803811506,0.0071395112502823715,0.01818427929663414,0.04436349607866598,0.03881660064436543,0.11516855649876466,0.020555158289039702,0.004693926215795747,0.013741379152778531,0.03397267370094155,0.029745377978601804
BLANC-Help-SS ¤Δ,0.16141626812554627,0.01678781917879888,0.022063173347849973,0.02518574367588619,0.007627951303919337,0.01052136431506448,0.1296998358669264,0.02516293742652789,0.015424600096592456,0.009065750090552525,0.017651997643738305,0.02747258250379723,0.0961685042388193,0.018558945572601102,0.012129012367271609,0.007038653996384937,0.012882527540668922,0.020221703048020588
BARTScore-PS ¤Δ,0.018121392601699704,0.20370648245374973,0.09446944985932146,0.22608210331295087,0.2427282938974215,0.32274767427369155,0.023666888104019675,0.13084682820702723,0.0476951260192272,0.2090741713247567,0.1829317657756985,0.2621523362776451,0.01621004891982916,0.09173094642485995,0.03252832957702259,0.15144806259817756,0.12909191639527115,0.18684671945380696
BARTScore-SP ¤Δ,0.19589542895910983,0.026504395368389465,0.004446582814759532,0.00491691098347944,0.04178245794078901,0.09012759624174421,0.17039302263427525,0.03821586486633537,0.014622579095752958,0.03682202142674002,0.07534270714285038,0.11633294485472359,0.12033154363143837,0.02719594907365337,0.010273092539625495,0.026210928238150605,0.05314726280097295,0.08347216056335541
